decision,left_obstacle,front_obstacle,right_obstacle,suggested_direction
0,0,0,0,0.0,0
1,0,0,0,-0.585511869523,-1
1,0,0,0,-0.605137089626,0
1,0,0,0,-0.625666084537,1
0,0,0,0,-0.61119995811,1
0,0,0,0,0.409665338412,1
1,0,0,0,0.394862910374,1
1,0,0,0,-0.61119995811,-1
1,0,0,0,-0.633068311744,0
1,0,0,0,-0.655958424524,0
0,0,0,0,-0.679880222922,-1
0,0,0,0,0.307177363377,-1
0,0,0,0,0.330498530672,0
0,0,0,0,0.352882952488,1
0,0,0,0,0.33976904026,0
0,0,0,0,0.327509741617,0
1,0,0,0,0.316032413933,1
1,0,0,0,-0.704832883326,0
1,0,0,0,-0.72640494623,1
1,0,0,0,-0.716000506403,-1
1,0,0,0,-0.738904936187,1
1,0,0,0,-0.728400622183,-1
0,0,0,0,-0.752788735597,-1
0,0,0,0,0.237451257686,-1
0,0,0,0,0.261095063813,1
0,0,0,0,0.251331730734,-1
1,0,0,0,0.27359505377,-1
1,0,0,0,-0.716000506403,0
1,0,0,0,-0.70483289411,0
1,0,0,0,-0.692822636623,0
1,0,0,0,-0.679880222922,-1
1,0,0,0,-0.704832907052,1
1,0,0,0,-0.691571927154,-1
0,0,0,0,-0.718375966303,-1
0,0,0,0,0.269197039576,-1
0,0,0,0,0.295167092948,1
0,0,0,0,0.282925925908,-1
0,0,0,0,0.307177363377,1
1,0,0,0,0.29516710589,1
0,0,0,0,-0.728400622183,-1
1,0,0,0,0.261095063813,1
1,0,0,0,-0.762548742314,1
1,0,0,0,-0.752788735597,-1
1,0,0,0,-0.777965581981,0
1,0,0,0,-0.803887596406,0
1,0,0,0,-0.830498757216,0
0,0,0,0,-0.857730441183,-1
1,0,0,0,0.136275204845,1
0,0,0,0,-0.89037997028,-1
1,0,0,0,0.105136869814,1
0,0,0,0,-0.92083318458,-1
1,0,0,0,0.0760307853558,1
1,0,0,0,-0.949178672975,1
1,0,0,0,-0.947070669909,0
0,0,0,0,-0.944780682555,1
0,0,0,0,0.0825711638798,1
0,0,0,0,0.0791668154199,-1
0,0,0,0,0.105136869814,0
0,0,0,0,0.130758711811,1
0,0,0,0,0.125665866437,-1
0,0,0,0,0.149952532581,1
0,0,0,0,0.144384575964,-1
1,0,0,0,0.167427582561,-1
0,0,0,0,-0.826197330247,1
0,0,0,0,0.197162940446,0
0,0,0,0,0.219987428796,1
0,0,0,0,0.212149831022,0
1,0,0,0,0.204832690137,1
0,0,0,0,-0.816618273853,-1
1,0,0,0,0.177171003104,1
0,0,0,0,-0.844041794389,-1
1,0,0,0,0.15078255277,1
0,0,0,0,-0.87011816475,-1
0,0,0,0,0.125665874761,0
0,0,0,0,0.121711768126,0
0,0,0,0,0.117996133072,-1
1,0,0,0,0.137100927246,-1
1,0,0,0,-0.858618315395,-1
1,0,0,0,-0.878288231874,0
0,0,0,0,-0.898196176637,-1
1,0,0,0,0.098673959849,1
1,0,0,0,-0.920833176355,0
0,0,0,0,-0.940490851427,-1
1,0,0,0,0.0577158592869,1
1,0,0,0,-0.961464131016,0
1,0,0,0,-0.9807143993,1
1,0,0,0,-0.980112110567,-1
0,0,0,0,0.980112110567,-1
1,0,0,0,0.9807143993,-1
0,0,0,0,-1.0,0
0,0,0,0,0.0192856007004,1
0,0,0,0,0.0187187091386,-1
0,0,0,0,0.0374051074874,0
1,0,0,0,0.0560272176446,-1
1,0,0,0,-0.942284140713,0
0,0,0,0,-0.940490851427,1
0,0,0,0,0.0791668236452,1
1,0,0,0,0.0767913892199,1
0,0,0,0,-0.961464131016,-1
0,0,0,0,0.0363387443252,-1
0,0,0,0,0.0544343450639,1
0,0,0,0,0.0529293374335,0
0,0,0,0,0.0515051352827,-1
0,0,0,0,0.0685574825626,0
0,0,0,0,0.0855116627584,0
0,0,0,0,0.102344711801,1
1,0,1,0,0.099695825148,1
1,1,0,0,-0.916712714747,1
1,0,0,0,-0.914488337242,0
1,0,0,0,-0.912142660961,-1
1,0,0,0,-0.929553444574,1
1,0,0,0,-0.927557778968,0
1,0,0,0,-0.925446279569,0
1,0,0,0,-0.92320861078,0
0,0,0,0,-0.920833176355,1
0,0,0,0,0.098673959849,0
1,0,0,0,0.117996133072,-1
0,0,0,0,-0.878288231874,1
0,0,0,0,0.141381684605,0
0,0,0,0,0.160780994241,1
0,0,0,0,0.155958212504,0
1,0,0,0,0.151411008548,1
0,0,0,0,-0.866931901762,-1
1,0,0,0,0.129262562231,1
1,0,0,0,-0.888800256968,1
1,0,0,0,-0.885501740412,0
0,0,0,0,-0.882003866928,1
0,0,0,0,0.137100927246,0
0,0,0,0,0.174540366459,1
1,0,0,0,0.169501268164,1
0,0,0,0,-0.848588991452,-1
0,0,0,0,0.147116845061,-1
1,0,0,0,0.164738618424,-1
0,0,0,0,-0.830498731836,1
0,0,0,0,0.187315485917,1
0,0,0,0,0.182105950878,-1
1,0,0,0,0.19919905083,-1
0,0,0,0,-0.795167296306,1
0,0,0,0,0.222034450983,1
0,0,0,0,0.216000324662,0
0,0,0,0,0.210273767853,0
0,0,0,0,0.204832708778,0
0,0,0,0,0.199657055143,0
0,0,1,0,0.194728487037,-1
-1,0,0,1,0.209845360991,1
0,0,0,0,0.594785983406,0
0,0,0,0,0.607652878418,0
0,0,0,0,0.619825222193,0
1,0,0,0,0.631349557021,-1
1,0,0,0,-0.351194808267,0
0,0,0,0,-0.333129693941,1
0,0,0,0,0.677170694562,1
0,0,0,0,0.659436680401,-1
1,0,0,0,0.66950097346,-1
1,0,0,0,-0.313095819778,0
1,0,0,0,-0.295167642022,0
1,0,0,0,-0.276720097592,0
1,0,0,0,-0.257762604439,-1
1,0,0,0,-0.266250362287,1
1,0,0,0,-0.246293267327,-1
1,0,0,0,-0.254801648978,1
1,0,0,0,-0.23375071669,0
1,0,0,0,-0.212150579556,0
0,0,0,0,-0.190031082461,1
1,0,0,0,0.816617443884,-1
1,0,0,0,-0.161494825688,0
0,0,0,0,-0.139210010309,1
1,0,0,0,0.865612772779,-1
1,0,0,0,-0.112497605131,-1
1,0,0,0,-0.11657321875,1
1,0,0,0,-0.0936345634801,-1
0,0,0,0,-0.0971811537242,-1
1,0,0,0,0.87904844907,1
1,0,0,0,-0.125667164885,0
1,0,0,0,-0.130760012382,1
1,0,0,0,-0.105138483305,-1
1,0,0,0,-0.109621645147,0
0,0,0,0,-0.114499859964,-1
1,0,0,0,0.857729135481,1
0,0,0,0,-0.148806769207,-1
0,0,0,0,0.822827914229,-1
0,0,0,0,0.830497657434,1
1,0,0,0,0.803886642025,1
1,0,0,0,-0.204833627483,0
1,0,0,0,-0.214334705276,1
0,0,0,0,-0.185548174438,1
0,0,0,0,0.822827914229,0
0,0,0,0,0.803886642025,-1
1,0,0,0,0.811915651458,-1
1,0,0,0,-0.162455182099,0
1,0,0,0,-0.136276507817,0
1,0,0,0,-0.109621645147,-1
1,0,0,0,-0.114499859964,1
1,0,0,0,-0.0862817250075,-1
1,0,0,0,-0.0903365713146,1
0,0,0,0,-0.060451302354,1
0,0,0,0,0.942280953309,0
1,0,0,0,0.944777487536,-1
1,0,0,0,-0.027668058589,0
1,0,0,0,-0.000593650891183,-1
0,0,0,0,-0.000606993021533,1
0,0,0,0,0.971076283265,0
0,0,0,0,0.913718274993,0
0,0,0,0,0.885500140036,1
0,0,0,0,0.890378354853,0
0,0,0,0,0.894861516695,0
1,0,0,0,0.898995351554,1
1,0,0,0,-0.0760329226161,1
1,0,0,0,-0.0791689539715,0
0,0,0,0,-0.0825733038936,1
0,0,0,0,0.863723492183,1
0,0,0,0,0.869239987618,0
1,0,0,0,0.874332835115,1
1,0,0,0,-0.101004648446,1
1,0,0,0,-0.105138483305,0
0,0,0,0,-0.114499859964,1
1,0,0,0,0.857729135481,-1
0,0,0,0,-0.148806769207,1
1,0,0,0,0.822827914229,-1
1,0,0,0,-0.185548174438,-1
0,0,0,0,-0.155959495973,-1
1,0,0,0,0.851193230793,1
0,0,0,0,-0.119827095291,-1
0,0,0,0,0.885500140036,-1
0,0,0,0,0.857729135481,1
1,0,0,0,0.863723492183,1
1,0,0,0,-0.109621645147,1
0,0,0,0,0.863723492183,-1
0,0,0,0,0.837544817901,0
1,0,0,0,-0.196113357975,-1
1,0,0,0,-0.169502342566,1
0,0,0,0,-0.177172085771,1
1,0,0,0,0.795166372517,-1
0,0,0,0,-0.214334705276,1
1,0,1,0,0.757761377961,-1
1,0,0,1,-0.253708002056,-1
0,0,0,0,-0.224721513727,-1
1,0,0,0,0.785665294724,1
0,0,0,0,-0.185548174438,-1
1,0,0,0,0.822827914229,1
1,0,0,0,-0.148806769207,1
0,0,0,0,-0.155959495973,1
1,0,0,0,0.814451825562,-1
0,0,0,0,-0.194729549265,1
1,0,0,0,0.775278486273,-1
0,0,0,0,-0.236117575473,1
-1,0,1,0,0.733749395318,0
0,0,0,0,-0.45292913955,1
0,0,0,0,0.557715681127,0
1,0,0,0,0.567949841404,-1
1,0,0,0,-0.419409158493,0
0,0,0,0,-0.406367233163,1
0,0,0,0,0.603258759679,0
0,0,0,0,0.612496124648,0
0,0,0,0,0.621364267626,1
0,0,0,0,0.608693194757,-1
1,0,0,0,0.617344344469,-1
0,0,0,0,-0.370118351589,1
1,0,0,0,0.638065798587,-1
1,0,0,0,-0.349217642637,0
1,0,0,0,-0.336182897007,0
0,0,0,0,-0.322829212687,1
0,0,0,0,0.68452172641,1
1,0,0,0,0.671357084339,1
0,0,0,0,-0.344041999196,-1
0,0,0,0,0.642752031215,0
1,0,0,0,0.629881648411,1
0,0,0,0,-0.378635732374,-1
0,0,0,0,0.608693194757,0
1,0,0,0,0.596368395375,1
1,0,0,0,-0.412741166289,0
0,0,0,0,-0.422208338919,-1
0,0,1,0,0.565623600119,-1
-1,0,0,1,0.57517952792,1
1,0,0,0,-0.915615101728,0
1,0,0,0,-0.912740993307,0
1,0,0,0,-0.909665561552,-1
1,0,0,0,-0.932049984596,1
1,0,0,0,-0.929553451084,-1
1,0,0,0,-0.952928964095,1
1,0,0,0,-0.951125514835,0
0,0,0,0,-0.949178672975,1
0,0,0,0,0.0760307853558,0
0,0,0,0,0.101003036666,1
0,0,0,0,0.0971795434633,0
0,0,0,0,0.0936329545736,-1
1,0,0,0,0.11657192387,-1
1,0,0,0,-0.879049745633,0
1,0,0,0,-0.874334133563,-1
1,0,0,0,-0.898996963334,1
1,0,0,0,-0.894863130186,0
1,0,0,0,-0.89037997028,-1
1,0,0,0,-0.91742883612,0
1,0,0,0,-0.944780682555,0
1,0,0,0,-0.97233831289,0
0,0,0,0,0.97233831289,-1
0,0,0,0,0.973489521816,1
1,0,0,0,0.947070669909,1
0,0,0,0,-0.0552193174451,-1
0,0,0,0,0.91742883612,-1
0,0,0,0,0.92083318458,1
0,0,0,0,0.894863130186,0
0,0,0,0,0.869241288189,0
1,0,0,0,0.84404180358,1
1,0,0,0,-0.162454085561,0
0,0,0,0,-0.169501242784,-1
0,0,0,0,0.803887596406,-1
1,0,0,0,0.8119166021,-1
0,0,0,0,-0.162454085561,1
0,0,0,0,0.84404180358,1
1,0,0,0,0.819331133069,1
1,0,0,0,-0.1880833979,0
0,0,0,0,-0.196112403594,-1
0,0,0,0,0.777965581981,0
0,0,0,0,0.752788735597,0
0,0,0,0,0.728400622183,-1
0,0,0,0,0.738904936187,1
1,0,0,0,0.716000506403,1
0,0,0,0,-0.29516710589,-1
0,0,0,0,0.682106142278,0
0,0,0,0,0.66023095974,0
1,0,0,0,0.639209129903,1
0,0,0,0,-0.374333915463,-1
1,0,0,0,0.605137089626,1
1,0,0,0,-0.409665338412,1
1,0,0,0,-0.38880004189,-1
1,0,0,0,-0.404270376973,1
0,0,0,0,-0.38200364106,1
0,0,0,0,0.633068311744,1
1,0,0,0,0.61119995811,1
1,0,0,0,-0.404270376973,0
1,0,0,0,-0.420832934542,0
0,0,0,0,-0.438582649143,-1
0,0,0,0,0.539737296376,-1
0,0,0,0,0.557716103171,1
0,0,0,0,0.537405353453,-1
1,0,0,0,0.554434576424,-1
0,0,0,0,-0.425446050072,1
1,0,0,0,0.590334661588,-1
0,0,0,0,-0.404270376973,-1
0,0,0,0,0.574553949928,0
0,0,0,0,0.554434576424,-1
0,0,0,0,0.570446773801,1
1,0,0,0,0.551505355341,1
0,0,0,0,-0.464668330806,-1
0,0,0,0,0.517201982649,-1
1,0,0,0,0.533475629651,-1
1,0,0,0,-0.448494644659,-1
0,0,0,0,0.517201982649,0
0,0,0,0,0.500000236925,-1
0,0,0,0,0.516320227173,0
1,0,0,0,0.531804705901,-1
1,0,0,0,-0.451125298767,-1
1,0,0,0,-0.466524370349,1
1,0,0,0,-0.464668330806,0
1,0,0,0,-0.481815567805,1
1,0,0,0,-0.462594646547,-1
0,0,0,0,-0.4807141368,-1
0,0,0,0,0.500000264799,-1
0,0,0,0,0.518184432195,1
0,0,0,0,0.500000250088,0
1,0,0,0,0.482798504542,1
1,0,0,0,-0.535331166697,1
1,0,0,0,-0.518183917098,0
1,0,0,0,-0.499999735201,-1
1,0,0,0,-0.519285316802,1
1,0,0,0,-0.499999718651,-1
1,0,0,0,-0.520528693331,0
0,0,0,0,-0.542378267052,-1
0,0,0,0,0.438583238222,-1
0,0,0,0,0.46026326963,1
0,0,0,0,0.44228444929,-1
0,0,0,0,0.462595178902,0
0,0,0,0,0.481816082902,1
1,0,0,0,0.464668833303,1
1,0,0,0,-0.554434056249,1
0,0,0,0,-0.537404821098,1
0,0,0,0,0.481816082902,0
0,0,0,0,0.517201982649,1
0,0,0,0,0.516320227173,1
1,0,1,0,0.500000225079,1
1,1,0,0,-0.516319765017,0
-1,1,0,0,-0.533475153827,-1
0,0,0,0,-0.0731326903247,-1
0,0,0,0,0.929553451084,-1
0,0,0,0,0.906367045426,0
0,0,0,0,0.88342807613,1
1,0,1,0,0.887503688242,1
1,1,0,0,-0.0903344384476,0
-1,1,0,0,-0.0679500154036,-1
1,0,1,0,0.750636126553,-1
-1,0,0,1,-0.237451308117,1
1,0,0,0,-0.610046279807,0
1,0,0,0,-0.621711596151,-1
1,0,0,0,-0.613579442325,0
1,0,0,0,-0.605136706207,1
0,0,0,0,-0.617344344469,1
0,0,0,0,0.37433430433,0
1,0,0,0,0.36632693258,-1
1,0,0,0,-0.645933346108,0
0,0,0,0,-0.658494332364,1
1,0,1,0,0.334095615118,-1
1,0,0,1,-0.678595003166,-1
0,0,0,0,-0.671357084339,-1
1,0,0,0,0.341505667636,1
1,0,0,0,-0.650782357363,1
1,0,0,0,-0.663817102993,-1
0,0,0,0,-0.655958000804,-1
1,0,0,0,0.357247968785,1
1,0,0,0,-0.634385946796,1
1,0,0,0,-0.64776163464,0
1,0,0,0,-0.661493670977,-1
0,0,0,0,-0.653128585956,-1
1,0,0,0,0.360791281212,1
1,0,0,0,-0.630278768941,1
0,0,0,0,-0.644384361095,1
0,0,0,0,0.346871414044,0
1,0,0,0,0.338506329023,-1
1,0,0,0,-0.675583195886,-1
1,0,0,0,-0.667427355844,1
1,0,0,0,-0.68210569322,-1
1,0,0,0,-0.673802430157,1
0,0,0,0,-0.689116620528,1
0,0,0,0,0.302837314849,1
0,0,0,0,0.31789430678,0
0,0,0,0,0.332572644156,-1
1,0,0,0,0.324416804114,-1
1,0,0,0,-0.690030009303,0
1,0,0,0,-0.704832429752,0
1,0,0,0,-0.719987155035,0
1,0,0,0,-0.735489128159,0
0,0,0,0,-0.751331412279,1
0,0,0,0,0.242238305386,0
0,0,0,0,0.236117151666,1
0,0,0,0,0.251332224522,0
1,0,0,0,0.266250241089,1
0,0,0,0,-0.727031067903,-1
1,0,0,0,0.287850425733,1
0,0,0,0,-0.704832429752,-1
0,0,0,0,0.309969990697,-1
0,0,0,0,0.302401554047,0
1,0,0,0,0.29516755164,-1
1,0,0,0,-0.71913608098,0
